halide_identifier,halide_SMILES
H2354,C1=CN=C(C=N1)F
H2355,CNC1=CC(=NC=N1)Cl
H2356,C1CC1NC2=NC(=NC=C2)Cl
H2357,COC1=NC(=CN=C1N)Br
H2358,C1=C(C=NC=C1F)N
H2359,C1=C(C(=CS1)Br)C(=O)O
H2360,C1=C(C(=CS1)Br)C(=O)N
H2361,C1=C(C(=NC=N1)Cl)N
H2362,C1COC2=C(C1=O)C=C(C=C2)Br
H2363,CC1=CC(=NC=C1N)F
H2364,C1NC(=N[N+](=O)[O-])N(CO1)CC2=CN=C(S2)Cl
H2365,C1=CN=C(C=C1C(F)F)Br
H2366,C1=C(C=NC=C1F)C(=O)O
H2367,CC1=CC(=C(C(=C1)[N+](=O)[O-])I)C
H2368,COC1=C(C=C2CCC(=O)C2=C1)Br
H2369,C1=CC(=NC=C1Br)NN
H2370,COC(=O)C=CC1=CC(=CC=C1)Br
H2371,C1=CC(=C(N=C1)N)Cl
H2372,C1=CN=C(C=C1C#N)I
H2373,C1=CN=C(C=C1C(=O)O)I
H2374,C1=CC(=S)NC=C1Cl
H2375,C1=C(SC=C1Br)CC(=O)O
H2376,C1CNC2=C(C1=O)C=CC=C2Br
H2377,C1=CC=C(C(=C1)CN=[N+]=[N-])F
H2378,C1=CC(=CC=C1CN=[N+]=[N-])F
H2379,CCC1=CC(=NC=C1)Br
H2380,C1=CC(=C(N=C1)Br)C(F)F
H2381,C1=CN=CC(=C1Br)C#N
H2382,C1=C(C(=C(C=N1)Br)N)N
H2383,C1=CN=CC(=C1I)N
H2384,C1=CC(=C(N=C1)F)C#N
H2385,C1=CC=C(C(=C1)O)F
H2386,C1=CN=C(C(=C1N)N)Cl
H2387,COC1=CC(=C(C=C1)Cl)N
H2388,C1COCCN1C2=CC=C(C=C2)I
H2389,C1=C(NC=C1Br)C(=O)O
H2390,C1=NNC(=C1Cl)C(=O)O
H2391,COC1=C2C(=C(C=C1)Br)CCC2=O
H2392,CC1=CC(=CN=C1Cl)[N+](=O)[O-]
H2393,CC(C1=CC(=CC=C1)Br)(F)F
H2394,CC(C1=CC(=NC=C1)Cl)(F)F
H2395,C1=CC(=C(C(=C1)[N+](=O)[O-])Cl)C(F)(F)F
H2396,COC(=O)C1=C(C(=CC=C1)N)Br
H2397,COC(=O)C1=NC(=CN=C1N)Br
H2398,C1=CC(=C(C=C1F)[N+](=O)[O-])CBr
H2399,CC1=CC(=C(S1)Br)C
H2400,C1=C(C=NC(=C1Br)N)N
H2401,C1OC2=C(O1)C=C(C(=C2)C#N)Br
H2402,C1=CN=C(C(=N1)NN)Cl
H2403,C1CCC(CC1)P(C2CCCCC2)C3=CC=CC=C3Br
H2404,C1=CC=C(C(=C1)CCC(=O)O)I
H2405,COC1=C(C=C(C=N1)Br)C#N
H2406,CC(C)(C)OC(=O)NC1=C(C(=NC=C1)Cl)C(=O)O
H2407,CC1=C(N=CC=C1)I
H2408,CC1=CC(=C(C=C1)I)C(=O)OC
H2409,COC1=CC(=C(C=C1)I)O
H2410,CC(C)(C)OC(=O)NC1=CC(=CN=C1)Br
H2411,C1=CC(=CC=C1CC(=O)Cl)Br
H2412,C1=CC(=CC(=C1)Br)CC(=O)Cl
H2413,CC1=NC(=NC=C1)Cl
H2414,C1=CC(=CC=C1C=C(C#N)C(=O)O)Cl
H2415,C1=CC(=NC=C1Br)C(F)F
H2416,C1=CC(=NC(=C1)Br)C(F)F
H2417,C1=CC(=NC=C1C(F)F)Br
H2418,C1=C(C=NC=C1Br)C(F)F
H2419,C1=CC(=C(N=C1)Cl)C(F)F
H2420,C1=CC(=NC=C1C(F)F)Cl
H2421,C1=CC(=CC=C1CN=[N+]=[N-])Cl
H2422,C1=CC(=CC=C1CN=[N+]=[N-])Br
H2423,C1=CC(=C(C(=C1)C(=O)O)I)C(=O)O
H2424,C1=CC2=C3C(=C1)C(=O)OI3OC2=O
H2425,C1=CC=C2C(=C1)C(=O)OI2Cl
H2426,CC1(C2=CC=CC=C2I(O1)O)C
H2427,C1=CC=C(C(=C1)CN=[N+]=[N-])Cl
H2428,C1CNC2=C1C=C(C=C2)F
H2429,CC1=C(N=C(N=C1Cl)N)C
H2430,B(C1=C(C=CC(=C1)OC)I)(O)O
H2431,C1=C(C=NN1)F
H2432,C1=CC(=NC=C1Cl)C=O
H2433,CC1=NN(C(=C1Br)C(=O)O)C
H2434,CC1=CSC(=N1)Br
H2435,CC1=C(C=CC(=C1)S(=O)(=O)Cl)F
H2436,C1=CC(=C(C(=C1)Br)N)C(=O)O
H2437,B1(OC(=O)CN(CC(=O)O1)C)C2=C(C=CS2)Br
H2438,B1(OC(=O)CN(CC(=O)O1)C)C2=C(C=CO2)Br
H2439,B1(OC(=O)CN(CC(=O)O1)C)C2=C(N=CC=C2)Cl
H2440,B1(OC(=O)CN(CC(=O)O1)C)C2=C(N=CC=C2)F
H2441,C1=CC=C(C(=C1)C=O)Cl
H2442,COC(C1=CC=CC=C1F)OC
H2443,COC1=C(C=C(C=C1)S(=O)(=O)Cl)Br
H2444,CC(C1=CC=CC=C1Br)(F)F
H2445,C1=NN=C(S1)Br
H2446,CC1=C(SC=C1Br)C
H2447,COC(C1=CC(=CN=C1)Br)OC
H2448,C1=C(C=NC(=S)N1)Cl
H2449,C1CC(=O)C2=C1C(=CC=C2)I
H2450,C1=C(C(=O)NC=C1[N+](=O)[O-])Br
H2451,CC1=C(C=C(C=C1)C=O)Br
H2452,C1=CC(=C(C(=C1)O)Br)O
H2453,COC1=C(C=C(C=C1)Br)N
H2454,B1(OC(=O)CN(CC(=O)O1)C)C2=C(C=NC=C2)Br
H2455,C1=CC(=C(C=C1Cl)[N+](=O)[O-])C#N
H2456,B1(OC(=O)CN(CC(=O)O1)C)C2=CC(=CC(=C2)I)OC
H2457,B1(OC(=O)CN(CC(=O)O1)C)C2=CC(=CC(=C2)I)C(F)(F)F
H2458,B1(OC(=O)CN(CC(=O)O1)C)C2=C(C=CC(=C2)Br)C#N
H2459,C1=CC(=O)NC=C1F
H2460,C1=C(N=CC(=N1)Cl)C(F)(F)F
H2461,C1=CC(=NC=C1Br)CC(=O)O
H2462,B1(OC(C(O1)(C)C)(C)C)C(=C)C2=CC(=CC=C2)F
H2463,C1=CC(=C(C(=C1)[N+](=O)[O-])I)C(=O)O
H2464,COC(=O)C1=C(C(=CC=C1)N)I
H2465,C1=CC(=C(C(=C1)N)I)C(=O)O
H2466,CC1=NC(=NC=C1)Br
H2467,C1=CN=C(C=N1)Br
H2468,C1=CC(=CC=C1CP(=O)(O)O)Br
H2469,COC1=CC(=C(C=C1)I)C=O
H2470,CC1=CC(=CN=C1Cl)N
H2471,COC1=C(C=C(C=C1)I)C(=O)O
H2472,C1=C(C=C(N=C1N)Cl)C(=O)O
H2473,CN1C(=CC=N1)I
H2474,C1=CC(=C(C=C1Br)[N+](=O)[O-])C=O
H2475,CC(C)(C)OC(=O)NC1=CC(=CC=C1)I
H2476,CC(C)(C)OC(=O)NC1=CC=C(C=C1)I
H2477,CC1=C(C(=CC=C1)NC(=O)OC(C)(C)C)Br
H2478,COC1=C(C=CC(=N1)Cl)C=O
H2479,C1=C(SC(=N1)Br)C=O
H2480,C1=C(N=C(S1)Br)C=O
H2481,B1(OC(=O)CN(CC(=O)O1)C)C2=C(C=NC=C2)F
H2482,COC1=CC(=C(C=C1C=O)I)OC
H2483,COC1=C(C=C2CCC(=O)C2=C1)I
H2484,C1=CC(=C(C=C1Cl)N)CO
H2485,CC1=C(C=CC(=N1)Br)[N+](=O)[O-]
H2486,CC1=CC(=CC(=N1)C)Br
H2487,CC1=C(C=CC(=N1)OC)Br
H2488,CC(=NO)C1=CC=C(S1)Br
H2489,C1=CC(=C(C(=C1)C=O)Br)C=O
H2490,CC1=C(C(=NN1)C(=O)O)Br
H2491,COC1=CN=CC(=N1)I
H2492,C1CCN(CC1)C2=CC=CC=C2Br
H2493,C1=CC=C(C(=C1)C(F)F)Br
H2494,C1=CC=C(C(=C1)C(=O)CBr)F
H2495,C1=CC(=NN=C1N)Cl
H2496,CC1=C(C=CC(=N1)N)Cl
H2497,C1CCN(CC1)C2=NC=C(C=N2)Br
H2498,COC1=NC=C(C=N1)Cl
H2499,CC(C)(C)OC(=O)NCC1=CC=C(S1)Br
H2500,CC1=C(C=C(C=C1)CO)Br
H2501,C1=CN=C(C(=C1C(F)(F)F)N)Cl
H2502,CC1=C(N=CNC1=O)Cl
H2503,COC1=CC(=C(C=C1)CBr)Cl
H2504,CN1C=CC(=N1)Br
H2505,C1=CC=C(C(=C1)C(=O)O)Br
H2506,C1=CC(=CC(=C1)Br)CP(=O)(O)O
H2507,B1(OC(=O)CN(CC(=O)O1)C)C2=CC=CC=C2I
H2508,B1(OC(=O)CN(CC(=O)O1)C)C2=C(C=NC=C2)Cl
H2509,CC(C)(C)C(=O)NC1=C(C=CC=N1)I
H2510,C1CC2=C1C=CC(=C2)Br
H2511,CCOP(=O)(CC1=CC(=CC=C1)Br)OCC
H2512,C1=CC(=NC=C1CO)Br
H2513,CC(C)(C)OC(=O)NC1=C(SC=C1)Br
H2514,B1(OC(=O)CN(CC(=O)O1)C)C2=C(N=CC=C2)Br
H2515,CCCCCCCCCCCCC1=CC=C(S1)Br
H2516,CCCCCCC1=CSC(=C1)Br
H2517,COC1=C(C=CC(=C1)I)O
H2518,C1=C(C=NC(=C1C#N)Cl)[N+](=O)[O-]
H2519,C1=CC(=CC=C1C(=O)N)I
H2520,COC1=CC=CC(=C1Br)O
H2521,CC1=NSC(=C1Br)N
H2522,B1(OC(C(O1)(C)C)(C)C)C(=C)C2=CC=CC=C2Cl
H2523,COC(=O)C1=C(C=CC=N1)I
H2524,C1=C(C=C(C=C1[N+](=O)[O-])I)C(=O)O
H2525,CCOP(=O)(CC1=CC=C(C=C1)F)OCC
H2526,COC1=C(C(=CC=C1)OC)Br
H2527,COC1=C(C(=C(C(=C1)C=O)Br)OC)OC
H2528,CS(=O)(=O)C1=NC=C(C=N1)Br
H2529,CC1=CC(=C(C=C1C)I)C=O
H2530,C1CC2=C(C=CC(=C2)F)N(C1)C=O
H2531,C1=CC(=CC=C1CP(=O)(O)O)F
H2532,CC1=CC(=NC=C1N)Cl
H2533,C1=CC=NC(=C1)Br
H2534,C1CN=CC2=C1C=CC(=C2)Br
H2535,C1CN=CC2=C1C(=CC=C2)Br
H2536,C1=CC(=CC=C1C=C(C#N)C(=O)O)F
H2537,C1=CC=C2C(=C1)C(=O)OI2C(F)(F)F
H2538,B1(OC(=O)CN(CC(=O)O1)C)C2=CC=CC=C2Cl
H2539,B1(OC(=O)CN(CC(=O)O1)C)C2=CC=CC=C2F
H2540,CC1=CC(=C(C=C1C)I)C(=O)O
H2541,B1(OC(=O)CN(CC(=O)O1)C)C2=C(C=NN2C)Br
H2542,C1=CC(=NC(=C1C(=O)O)N)Cl
H2543,C1=CN=C(C=C1C=O)F
H2544,C1=CC(=NN=C1C(F)(F)F)Cl
H2545,CC(C)[Si](C(C)C)(C(C)C)OC1=CC=CC=C1Br
H2546,CC(C)[Si](C(C)C)(C(C)C)OC1=CC=C(C=C1)Br
H2547,CC(C)(C)OC(=O)N1CCC2=C1C=CC(=C2)Br
H2548,CC1=C(C=C(C=C1)Br)NC(=O)OC(C)(C)C
H2549,C1CCC(CC1)C2=CC(=C(C(=C2)C3CCCCC3)Br)C4CCCCC4
H2550,C1=C(SC=C1C=O)Br
H2551,C1=C(SC=C1C(=O)O)Br
H2552,C1=CN=C(C=C1CC(=O)O)Cl
H2553,COC1=C2C(=C(C=C1)I)CCC2=O
H2554,CC(C)C1=CC(=C(C=C1Br)C(=O)OC)N
H2555,C1CCC(C1)C2=CC(=C(C(=C2)C3CCCC3)Br)C4CCCC4
H2556,COC1=C(C=C(C=N1)Br)C(=O)OC
H2557,C(C1=NSC(=N1)Cl)Cl
H2558,C1=CC(=CC(=C1)Br)[N+](=O)[O-]
H2559,CC1=C(C(=O)NC(=N1)SC)I
H2560,COC1=C(C=CC(=C1)Cl)C=O
H2561,C1=CN=C(C=C1CC(=O)O)Br
H2562,CC1=C(SC=C1Br)C=O
H2563,CC1=CC(=C(C=C1)C=O)Cl
H2564,B1(OC(=O)CN(CC(=O)O1)C)C2=C(N=CC=C2)I
H2565,CON(C(=O)NC1=CC=C(C=C1)Br)OC
H2566,C1=CC(=NC(=C1N)N)Cl
H2567,C1=COC(=C1C(=O)O)Br
H2568,C1=CN=C(C=C1CC(=O)O)F
H2569,CC1=C(C(=NC(=N1)SC)OC)I
H2570,COC1=C(C=C(C=C1)F)C(=O)CBr
H2571,C1=CC(=CC(=C1)I)N=[N+]=[N-]
H2572,C1=CC=C(C(=C1)N=[N+]=[N-])F
H2573,C1=CC=C(C(=C1)N=[N+]=[N-])Cl
H2574,C1=CC(=CC(=C1)Br)N=[N+]=[N-]
H2575,C1=CC(=CC=C1N=[N+]=[N-])F
H2576,C1=CC=C(C(=C1)N=[N+]=[N-])Br
H2577,C1=CC(=CC=C1N=[N+]=[N-])Br
H2578,C1=CC(=CC=C1N=[N+]=[N-])I
H2579,C1=CC(=CC(=C1)F)N=[N+]=[N-]
H2580,C1=CC(=CC(=C1)Cl)N=[N+]=[N-]
H2581,CC(C)OC(=O)NC1=CC(=CC=C1)Cl
H2582,C1=CC(=CC=C1C#N)Br
H2583,C1=CC(=NC=C1CBr)Br
H2584,C1=CC(=C2C(=C1)I(=O)(OC2=O)O)C(=O)O
H2585,C1=CC=NC(=C1)Cl
H2586,CC1=C(C=C(C=C1)F)S(=O)(=O)F
H2587,C1=CC(=C(C=C1Br)C(F)(F)F)S(=O)(=O)F
H2588,C1=CC(=C(C=C1C(F)(F)F)Br)S(=O)(=O)F
H2589,CC1=C(C=CC(=C1)Cl)OCC(=O)O
H2590,CC1=CC(=C(C=C1)N)I
H2591,B1(OC(=O)CN(CC(=O)O1)C)C2=NC=C(C=C2)Br
H2592,C1=CC(=CC(=C1)F)CP(=O)(O)O
H2593,C[Si](C)(C)C1=C(C=NC=C1OS(=O)(=O)C(F)(F)F)Br
H2594,COC1=C(C=CC(=C1)Br)N
H2595,COC(=O)C1=NC(=NC=C1)Cl
H2596,C[Si](C)(C)C1=C(C(=CC=C1)Cl)OS(=O)(=O)C(F)(F)F
H2597,CC(=O)C1=CC=C(C=C1)Br
H2598,CCCCC(CC)CC1=C(SC=C1)Br
H2599,C[Si](C)(C)C1=C(C(=CC=C1)Br)OS(=O)(=O)C(F)(F)F
H2600,B1(OC(=O)CN(CC(=O)O1)C)C2=C(C=CC(=C2)C(F)(F)F)Cl
H2601,C1COC(=O)C1NC(=O)CC2=CC=CC=C2Br
H2602,C1COC(=O)C1NC(=O)CCC2=CC=C(C=C2)Br
H2603,C1COC(=O)C1NC(=O)CC2=CC=C(C=C2)I
H2604,C1C2C(C3=C1C=CC(=C3)Br)N(C(=O)CO2)O
H2605,C1C2C(C3=C1C=CC(=C3)Br)N(C(=O)CO2)O
H2606,B1(OC(=O)CN(CC(=O)O1)C)C2=C(C(=CC=C2)OC)F
H2607,B1(OC(=O)CN(CC(=O)O1)C)C2=C(C=C(C=C2)C)F
H2608,C1CCN(CC1)S(=O)(=O)C2=CC=CC(=C2NC(=O)C(=O)O)F
H2609,CS(=O)(=O)C1=C(C(=C(C=C1)C(=O)C2C(=O)CCCC2=O)Cl)COCC(F)(F)F
H2610,[B-]12([N+](CC(=O)O1)(CC(=O)O2)C)C3=C(C=CC(=C3)C(F)(F)F)F
H2611,CCNC1=NC(=NC(=N1)Cl)NC(C)C
H2612,C1=CC(=CC=C1C=C(C#N)C(=O)O)Br
H2613,CCC(C)(C#N)SC(=S)N1C(=C(C(=N1)C)Cl)C
H2614,CCNC1=NC(=NC(=N1)Cl)NC(C)(C)C
H2615,C1=CC(=C(C=C1[N+](=O)[O-])Cl)OC2C(C(C(C(O2)CO)OC3C(C(C(C(O3)CO)OC4C(C(C(C(O4)CO)O)O)O)O)O)O)O
H2616,C1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl
H2617,CCSC(=O)COC1=C(C=C(C=C1)Cl)C
H2618,CC(=CC1=CC=C(C=C1)Cl)C(=NO)C
H2619,COC1=C(C(=CN=C1)N)I
H2620,COC1=C(N=C(C=C1)I)OC
H2621,COC1=C(N=CC(=C1)Br)OC
H2622,COC1=C(C(=CN=C1)C(OC)OC)I
H2623,COC1=C(C(=CN=C1)N)Cl
H2624,CC(C)(C)OC(=O)OC1=CC(=CN=C1)Br
H2625,COC1=C(N=CC(=C1)Br)C#CCO
H2626,COC1=C(N=CC(=C1)Br)C#C[Si](C)(C)C
H2627,COC1=C(N=CC(=C1)Br)C=O
H2628,COC1=C(N=CC(=C1)Br)[Si](C)(C)C
H2629,COC1=C(N=CC(=C1)Br)C#N
H2630,COC1=C(N=C(C=C1)Cl)OC
H2631,COC1=C(N=CC(=C1)Br)CO
H2632,COC1=C(N=CC(=C1)Br)C=NO
H2633,C1CC2=CN=CC(=C2OC1)I
H2634,C1CC2=C(N=CC(=C2)F)OC1
H2635,C1CC2=C(C=CC(=N2)I)OC1
H2636,B1(OC(C(O1)(C)C)(C)C)C2=CC(=NC3=C2OCCC3)I
H2637,C1CC2=C(C(=CC(=N2)I)C=O)OC1
H2638,C1COC2=C(O1)C=C(C=N2)Br
H2639,C1COC2=C(O1)C=CC(=N2)I
H2640,C1COC2=NC=CC(=C2O1)I
H2641,C1COC2=C(O1)C=C(C=N2)I
H2642,C1COC2=NC=CC(=C2O1)Cl
H2643,C1COC2=C(O1)C(=O)C(=CN2)I
H2644,C1COC2=C(O1)C=C(C=N2)Cl
H2645,C1COC2=NC=C(C(=C2O1)C=O)Br
H2646,C1COC2=NC=C(C(=C2O1)C(=O)O)Br
H2647,CC(C)(C)OC(=O)N1CC(C(C1)C(=O)OC)C2=C(C=CN=C2)Cl
H2648,CC(C)(C)[Si](C)(C)OCC1CCN(C1)C2=NC(=C(C=C2)CC=C)F
H2649,CC(C)(C)[Si](C)(C)OCC1CCN(C1)C2=NC(=C(C=C2)/C=C/C(=O)OC)F
H2650,C[Si](C)(C)C#CC1=CC(=NC(=C1)F)N2CCCC2
H2651,CC(C)(C)[Si](C)(C)OCC1CCN(C1)C2=NC(=C(C=C2)/C=N/O)F
H2652,CC(C)(C)[Si](C)(C)OCC1CCN(C1)C2=NC(=C(C=C2)CO)F
H2653,CC(C)(C)[Si](C)(C)OCC1CCN(C1)C2=NC(=C(C=C2)C#N)F
H2654,CC(C)(C)OC(=O)NC1=C(N=C(C=C1)N2CCC(C2)CO[Si](C)(C)C(C)(C)C)F
H2655,CC(C)(C)OC(=O)NC1=NC=CC(=C1C=NO)Cl
H2656,CC(=O)C1=CC(=NC(=C1)F)N2CCCC2
H2657,C1CCN(C1)C2=NC(=CC(=C2)C(=O)O)F
H2658,C1CCN(C1)C2=NC(=CC(=C2)C=O)F
H2659,CC(C)(C)C(=O)NC1=NC=C(C(=C1)OC(=O)C(C)(C)C)Br
H2660,COC(=O)C=CC1=CC(=NC(=C1)F)N2CCCC2
H2661,B1(OC(C(O1)(C)C)(C)C)C2=CC(=NC(=C2)F)N3CCCC3
H2662,CC(C)(C)C(=O)NC1=C(C=C(C=N1)F)C=O
H2663,C1CCN(C1)C2=NC(=CC(=C2)C#N)F
H2664,COC(=O)C=CC1=C(N=CC(=C1)F)N
H2665,CC(C)(C)OC(=O)N1CC(C(C1)C(=O)OC)C2=C(N=C(C=C2)N3CCC(C3)CO)F
H2666,B1(OC(C(O1)(C)C)(C)C)C2=CC(=CN=C2NC(=O)C(C)(C)C)F
H2667,COC(=O)CCC1=C(N=CC(=C1)F)N
H2668,C1=C(C=NC(=C1C#CCO)N)F
H2669,CC(C)(C)C(=O)NC1=C(N=CC(=C1)Br)C#CCO
H2670,CC1=CC(=C(N=C1)NC(=O)C(C)(C)C)I
H2671,CC(C)(C)C(=O)NC1=C(C=C(C=N1)F)C(=O)O
H2672,C1=C(C=NC(=C1C(=O)O)N)F
H2673,C1=C(C=NC(=C1CCCO)N)F
H2674,CC(C)(C)C(=O)NC1=C(C=C(C=N1)F)CCCO
H2675,C1=C(C(=O)NC=C1F)CCCO
H2676,C1=C(C=NC(=C1N)C#N)Br
H2677,C1=C(C=NC(=C1N)C(=O)N)Br
H2678,C1=C(C=NC(=C1N)C(=O)O)Br
H2679,CC(C)(C)C(=O)NC1=C(N=CC(=C1)Br)C#N
H2680,COC(=O)C1=C(C=C(C=N1)Br)N
H2681,C1=C(C(=O)NC=C1C(F)(F)F)I
H2682,C[Si](C)(C)C#CC1=CC(=C(N=C1)C#N)F
H2683,C1=C(C=NC(=C1F)C#N)C#CCO
H2684,COC(=O)C=CC1=CC(=C(N=C1)C#N)F
H2685,CC(C)(C)C(=O)NC1=C(C=C(C=N1)C(F)(F)F)I
H2686,C1=CC(=C(N=C1CO)Br)O
H2687,B1(OC(C(O1)(C)C)(C)C)C2=C(C(=NC=C2)Br)OC
H2688,COC1=C(NC=CC1=O)Br
H2689,COC1=C(C(=CN=C1OC)C(F)(F)F)I
H2690,C1=C(C=NC(=C1I)OS(=O)(=O)C(F)(F)F)C(F)(F)F
H2691,COC1=C(C=C(C=N1)Cl)O
H2692,COC1=C(N=CC(=C1)Cl)OC
H2693,B1(OC(C(O1)(C)C)(C)C)C2=CC(=CN=C2OC)Cl
H2694,COC1=C(C=CN=C1OC)I
H2695,COC1=C(C=CN=C1Br)C=O
H2696,C1=C(C=NC(=C1O)OCCO)Br
H2697,COC1=C(C=C(C=N1)Cl)C=O
H2698,COC1=C(C=C(C=N1)Cl)C(=O)O
H2699,COC1=C(C=C(C=N1)Cl)CO
H2700,COC1=C(C=C(C=N1)Cl)C(OC)OC
H2701,CC(C)(C)OC(=O)NC1=CC(=NC=C1)Br
H2702,COC1=C(N=CC(=C1)O)I
H2703,COC1=CC(=C(N=C1)I)OC
H2704,C1=C(C(=C(C=N1)Br)OS(=O)(=O)C(F)(F)F)[N+](=O)[O-]
H2705,COC1=C(N=C(C=C1)CO)Br
H2706,CC(C)(C)OCCOC1=C(C=C(C=N1)Br)OC
H2707,COCC1=NC(=C(C=C1)OC)Br
H2708,CC(C)(C)OC(=O)NC1=NC=C(C=C1)I
H2709,COC1=C(C(=CN=C1OC)Cl)C(=O)O
H2710,COC1=C(C(=CN=C1OC)Cl)C=O
H2711,COC1=C(NC=C(C1=O)Cl)OC
H2712,B1(OC(C(O1)(C)C)(C)C)C2=C(C(=NC=C2Cl)OC)OC
H2713,COC1=C(C(=CN=C1OC)Cl)CO
H2714,C1=CN=C(C=C1C(=O)N)Br
H2715,C[Si](C)(C)C#CC1=CN=C(C=C1)Cl
H2716,C[Si](C)(C)C#CC1=C(N=CC=C1)Cl
H2717,CC(C)(C)C(=O)NC1=NC=C(C=C1)I
H2718,C1COCCN1C2=C(C=CC=N2)I
H2719,C1CN(CCN1)C2=NC=C(C=C2)I
H2720,COC(=O)C1=C(C=CN=C1Cl)C#C[Si](C)(C)C
H2721,B1(OC(C(O1)(C)C)(C)C)C2=CC(=NC=C2)Cl
H2722,CCOC(=O)C=CC1=CN=C(C=C1)Cl
H2723,CCOC(=O)C=CC1=C(N=CC=C1)Cl
H2724,CC(C)(C)C(=O)NC1=C(C=NC=C1)I
H2725,CC(C)(C)OC(=O)NC1=NC=CC(=C1)Cl
H2726,C1=C(C=NC(=C1C=O)N)I
H2727,C1=C(C=NC(=C1CO)N)I
H2728,CC(C)(C)C(=O)NC1=C(C=CN=C1)I
H2729,C1=CN=C(C=C1Cl)C(=O)O
H2730,CCOC1=C(C=CC=N1)I
H2731,CC(C)OC1=C(C=CC=N1)I
H2732,C1CC1COC2=C(C=CC=N2)I
H2733,CC1=CC(=NC=C1I)N
H2734,CC1=CC(=CN=C1N)I
H2735,CC1=C(C=CC(=N1)N)I
H2736,COC(=O)C1=CC(=NC=C1)I
H2737,CC1=CC(=CN=C1NC(=O)C(C)(C)C)I
H2738,CC1=CC(=NC=C1I)NC(=O)C(C)(C)C
H2739,CC1=C(C=CC(=N1)NC(=O)C(C)(C)C)I
H2740,CC(C)(C)C(=O)NC1=NC(=CC=C1)Cl
H2741,COC1=NC(=CC=C1)I
H2742,C1=CC(=NC(=C1)I)C(=O)O
H2743,C1=CN=C(C=C1Cl)C(=O)N
H2744,COC(=O)C1=NC(=CC=C1)I
H2745,CC(C)(C)OC(=O)NC1=NC(=CC=C1)I
H2746,C1=CC(=NC(=C1)I)N
H2747,C1=CC(=NC(=C1)I)CO
H2748,C1=CN=C(C=C1Cl)C(=O)NN
H2749,C1=CN=C(C=C1Cl)CO
H2750,C1=CC(=NC(=C1)I)C(=O)NN
H2751,CC(C)(C)C(=O)NC1=NC(=CC=C1)I
H2752,COC(=O)C1=NC=CC(=C1)Cl
H2753,CC(C)(C)OC(=O)NC1=CC(=NC=C1)I
H2754,CC(C)(C)OC(=O)NC1=C(N=CC=C1)Br
H2755,CC(C)(C)OC(=O)NC1=NC=CC(=C1)I
H2756,CC(C)(C)C(=O)NC1=NC=CC(=C1I)OC
H2757,C1=C(C=NC=C1I)C=O
H2758,C1=C(C=NC=C1Cl)C=O
H2759,COC(C1=CC(=CN=C1)Cl)OC
H2760,COC1=CC(=CN=C1)I
H2761,C1=C(C=NC=C1Br)C#CCO
H2762,C1=C(C=NC=C1I)CO
H2763,CC(C)(C)C(=O)NC1=CC(=CN=C1)I
H2764,C1=C(C=NC=C1I)N
H2765,CC(C)(C)C(=O)NC1=CC(=CN=C1)Br
H2766,CC(C)(C)C(=O)NC1=CC(=CN=C1)Cl
H2767,CC(C)(C)C(=O)NC1=NC=C(C=C1)F
H2768,C1=C(C=NC(=C1C#N)N)Br
H2769,C1=C(C=NC(=C1C=O)N)F
H2770,COC(=O)C=CC1=C(N=CC(=C1)Br)N
H2771,COC1=C(C(=NC=C1)N)I
H2772,C1=CC(=NC=C1C(F)(F)F)I
H2773,CC1=CC(=C(N=C1)N)I
H2774,CC(C)(C)OC(=O)NC1=NC=C(C(=C1)OC)I
H2775,CC(C)(C)C(=O)NC1=C(C(=NC=C1)Cl)C(=O)O
H2776,CC(C)(C)C(=O)NC1=C(C(=NC=C1)Cl)O
H2777,CC(C)N(C(C)C)C(=O)C1=NC=CC(=C1)Cl
H2778,CC(C)(C)C(=O)NC1=C(C(=NC=C1)Cl)C=O
H2779,CC(C)(C)OC(=O)NC1=NC=CC(=C1O)Cl
H2780,CC(C)(C)OC(=O)NC1=NC=CC(=C1C(=O)O)Cl
H2781,CNC1=C(C=C(C=N1)Br)[N+](=O)[O-]
H2782,CN(C)C1=C(C=C(C=N1)Br)[N+](=O)[O-]
H2783,COC1=C(C=C(C=N1)Br)[N+](=O)[O-]
H2784,C1=CNC=C(C1=O)I
H2785,C1=C(C=NC=C1I)O
H2786,C1=C(C(=O)C(=CN1)I)[N+](=O)[O-]
H2787,C1=C(C(=O)C(=CN1)Cl)[N+](=O)[O-]
H2788,COC1=CC(=CN=C1)Cl
H2789,C[Si](C)(C)C#CC1=C(N=CC(=C1)Cl)N
H2790,CC(C)(C)OC(=O)NC1=CN=CC(=C1I)OC
H2791,C[Si](C)(C)C#CC1=C(N=CC(=C1)Br)N
H2792,COC1=C(C=C(C=N1)Br)N
H2793,CC(C)(C)OC(=O)NC1=CN=CC(=C1Cl)OC
H2794,CC(C)(C)[Si](C)(C)OCC1=C(C=C(C=N1)Br)OC
H2795,COC1=C(N=CC(=C1)Br)C(OC)OC
H2796,CC(C)(C)OC(=O)NCC1=C(C=C(C=N1)Br)OC
H2797,COC1=C(N=CC(=C1)Br)C=CC(=O)OC
H2798,C1CN(CC1CO)C2=C(C=C(C=N2)Br)[N+](=O)[O-]
H2799,COC1=C(N=CC(=C1)I)OC
